event_id,revision,token_symbol,event_type,event_subtype,event_name,lifecycle,announced_at,announced_at_precision,effective_at,effective_at_precision,amount_token,amount_usd,amount_usd_basis,percent_of_supply,size_relation,venue,market_symbol,market_id,chain,related_address,related_tx_hash,source_kind,evidence_status,source_url,source_published_at,source_published_at_precision,source_checked_at_utc,source_record_file,record_locator,recorded_at_utc,revision_reason,notes
strk-unlock-2026-01-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-01-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-02-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-02-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-03-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-03-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-04-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-04-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-05-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-05-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-06-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-06-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-07-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,occurred,,,2026-07-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; no onchain transfer verification is attached
strk-unlock-2026-08-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2026-08-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2026-09-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2026-09-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2026-10-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2026-10-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2026-11-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2026-11-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2026-12-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2026-12-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2027-01-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2027-01-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2027-02-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2027-02-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
strk-unlock-2027-03-15,1,STRK,unlock,scheduled_release,Monthly investor and early contributor release,scheduled,,,2027-03-15,day,127000000,,,1.27,up_to,,,,starknet,,,official_project,primary_confirmed,https://docs.starknet.io/learn/protocol/strk,,,2026-07-29T07:33:00Z,starknet-strk-tokenomics.json,facts.monthly_unlock_schedule,2026-07-29T07:33:00Z,initial,Official schedule states capped values; future schedule may change
eigen-airdrop-s1-p1-claim-start,1,EIGEN,airdrop,claim_start,Season 1 Phase 1 claim opening,occurred,2024-05-10,day,2024-05-10,day,,,,6.05,exact,,,,,,,official_project,primary_confirmed,https://blog.eigenfoundation.org/claims-s1-p1/,2024-05-10,day,2026-07-29T07:33:00Z,eigen-season-1-phase-1-claims.json,facts.claim_start,2026-07-29T07:33:00Z,initial,The share is source reported for tokens ready to claim on the opening day
okx-morpho-spot-trading-start,1,MORPHO,cex_listing,spot_trading_start,OKX MORPHO USDT spot trading start,occurred,2024-11-20,day,2024-11-21T10:05Z,minute,,,,,,okx,MORPHO/USDT,cex:okx:MORPHO/USDT,,,,official_exchange,primary_confirmed,https://www.okx.com/help/okx-to-list-morpho-morpho-for-spot-trading,2024-11-20,day,2026-07-29T07:33:00Z,okx-morpho-spot-listing.json,facts.spot_trading_start,2026-07-29T07:33:00Z,initial,Effective time is spot trading open; deposit and withdrawal times are excluded
